produto,marca,categoria,categoria_original,descricao,id,preco,url_produto,volume
Bastão Antiatrito,Sallve,Rosto,Loja Sallve,"sua proteção diária contra assaduras, agora em formato bastão. uma fórmula leve e hidratante, que previne assaduras, acalma e recupera a pele já sensibilizada, trazendo mais conforto e movimento para o dia a dia.",27be33b9-6e6a-40ed-a9f5-ccae9a9e87be,"R$ 79,90",https://www.sallve.com.br/products/bastao-antiatrito,15g
Dupla Cuidado Diário - Pele Sensível,Sallve,Rosto,Loja Sallve,,74d37b23-fc3e-4d6d-9da9-7f8b834783e5,"R$ 99,90",https://www.sallve.com.br/products/dupla-cuidado-diario-pele-sensivel,
Tônico Antiqueda Capilar,Sallve,Rosto,Loja Sallve,"tônico antiqueda capilar com rápida absorção, sem pesar o couro cabeludo. possui baicalina e alcaçuz para fios mais fortes, biotina e pantenol para auxiliar na hidratação.",ebd569b7-fe84-493d-aa13-dfc68ef7ebe4,"R$ 59,90",https://www.sallve.com.br/products/tonico-antiqueda,120ml
Hidratante Reparador Labial,Sallve,Rosto,Loja Sallve,"fórmula poderosa em bastão, que combina ativos reparadores e hidratantes para lábios mais macios, hidratados e livres de descamação e rachaduras.",1a28c6c8-b97d-4034-bc44-a524281b4df8,"R$ 49,90",https://www.sallve.com.br/products/hidratante-reparador-labial,6g
ALFA-ARBUTIN,Principia,Clarear manchas escuras,Clarear manchas escuras,"Sérum com 2% de alfa-arbutin e 10% de gluconolactona com alta eficácia na redução de manchas escuras, suavização das rugas, melhora do viço e aumento da hidratação da pele.",5f843479-64f5-40d0-89f6-e70a7a6f76ed,"R$  59,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-alfa-arbutin-gluconolactone.html,
RETINOL,Principia,Suavizar rugas e linhas finas,Suavizar rugas e linhas finas,"Sérum com 0,3% de Retinol e 0,5% de Vitamina E com alta eficácia na melhora de rugas, linhas finas, firmeza e viço.",32d8be39-fee0-45ac-9eb1-e42836b4de06,"R$  59,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-anti-idade-retinol-0-3.html,
ÓLEO DE LIMPEZA OL-01,Principia,Limpeza,Remover impurezas,"Óleo de limpeza demaquilante com 30% de óleo de girassol, 15% mix de tensoativos e 1% vitamina E, com alta eficácia na remoção de maquiagem, inclusive resistente a água, resíduos de protetor solar e impurezas da pele.",99877e9a-7b92-4018-ab95-705a93f606fc,"R$  59,00",https://www.principiaskin.com/produtos/produtos-individuais/oleo-de-limpeza-demaquilante-ol-01-girassol-vitamina-e.html,
ÁCIDOS HIALURÔNICOS,Principia,Melhorar o viço,Melhorar o viço,"Sérum com 2% de complexo com 4 tipos de ácidos hialurônicos e 1% de vit. B5 para uma pele com maior hidratação, firmeza e viço.",e77ac167-aa86-4291-9e57-8c5057a1f357,"R$  54,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-hidratante-2-acido-hialuronico-1-vitamina-b5.html,
ÁCIDO LÁTICO + KÓJICO,Principia,Proporcionar maciez,Proporcionar maciez,Sérum com 10% de Ácido Lático e 5% de Ácido Kójico com alta eficácia no clareamento de manchas escuras e na uniformização da tonalidade e textura da pele.,05969119-becc-4526-8a87-899ede32d347,"R$  54,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-al-10-acido-latico-acido-kojico.html,
ÁCIDO LÁTICO - TÔNICO,Principia,Limpeza,Remover impurezas,"Tônico com 7% de Ácido Lático e 1% de Ácido Salicílico com alta eficácia contra acnes, oleosidade e textura irregular da pele.",a631be34-e311-48cb-a48c-4b6713ed863e,"R$  49,00",https://www.principiaskin.com/produtos/produtos-individuais/tonico-al-7-acido-latico-acido-salicilico.html,
GEL DE LIMPEZA GL-01 350G,Principia,Reduzir tamanho dos poros,Reduzir tamanho dos poros,"Gel de limpeza com 2% de ácido salicílico e 5% de glicerina, com alta eficácia na melhora da oleosidade, maciez e viço da pele.",a887f8ad-8903-406b-a2ca-09cb693c31d0,"R$  49,00",https://www.principiaskin.com/produtos/produtos-individuais/gel-de-limpeza-acido-salicilico-glicerina-gl-01.html,350g
GEL DE LIMPEZA GL-02 350G,Principia,Reduzir tamanho dos poros,Reduzir tamanho dos poros,"Gel de limpeza com 11,5% de mix de tensoativos, 10% de glicerina e 1% de PCA sódio, com alta eficácia na melhora da oleosidade, poros dilatados e viço da pele. Indicado para peles sensíveis.",77c0ad2a-aa7e-49a8-adab-42271a4273b4,"R$  49,00",https://www.principiaskin.com/produtos/produtos-individuais/gel-de-limpeza-glicerina-pca-sodio-pele-senivel-gl-02.html,350g
CONDICIONADOR ANTIQUEDA AQ-01,Principia,Estimular o crescimento,Estimular o crescimento,"Condicionador antiqueda com 8% de Mix de Condicionantes e Emolientes + 2% Glicerina + 1% D-Pantenol + 0,5% Keratinas e alta eficácia na redução da quebra, estimulo do crescimento e aumento da resistência e volume dos cabelos.",eb54e7f7-8815-4922-99d1-3a91ce73e141,"R$  49,00",https://www.principiaskin.com/produtos/produtos-individuais/condicionador-antiqueda-keratinas-glicerina-d-pantenol-aq-01.html,
SHAMPOO ANTIQUEDA AQ-01,Principia,Estimular o crescimento,Estimular o crescimento,"Shampoo antiqueda com 11% de Mix de Tensoativos + 2,5% de Mix de Condicionantes e Umectantes + 2% Niacinamida + 1% Cafeína e alta eficácia na redução da quebra, estimulo do crescimento e aumento da resistência e volume dos cabelos.",64eb1c43-5b4f-4226-89a1-130683a772bc,"R$  44,00",https://www.principiaskin.com/produtos/produtos-individuais/shampoo-antiqueda-niacinamida-cafeina-keratinas-aq-01.html,
PEPTÍDEOS MATRIXYL,Principia,Melhorar o viço,Melhorar o viço,"Sérum com 10% de complexo de peptídeos Matrixyl indicado contra rugas, linhas finas, olheiras, bolsas e perda de elasticidade da pele.",74ad3a05-16f0-445f-a76a-f95d0d36d245,"R$  79,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-antissinais-10-peptideos-matryxil.html,
MIX-02,Principia,Clarear manchas escuras,Clarear manchas escuras,"Sérum com 5% de Cafeína, 3% de Ácido Tranexâmico e 0,5% de Ácido Ferúlico com alta eficácia contra olheiras, bolsas e manchas.",7739acba-02cd-4249-bad3-4b6552612335,"R$  69,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-mix-02-cafeina-acido-tranexamico-acido-ferulico.html,
SÉRUM CAPILAR SC-01,Principia,Estimular o crescimento,Estimular o crescimento,Sérum Capilar com 3% de Baicapil + 3% de Cafeína e 2% de Beauplex com alta eficácia na redução da queda e no crescimento do cabelo.,eaef186d-9626-444e-b820-0de0eec791d6,"R$  69,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-capilar-baicapil-cafeina-beauplex-sc-01.html,
MIX-01,Principia,Proporcionar maciez,Proporcionar maciez,"Sérum com mix de 4 ativos: 5% de niacinamida, 4% de ácido glicólico, 3% de ácido tranexâmico e 2% de ácido salicílico.",2f987349-a8a1-4703-9570-a3cd898aac72,"R$  64,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-mix-01-niacinamida-acido-glicolico-tranexamico-salicilico.html,
VITAMINA C-10,Principia,Reduzir e uniformizar a pigmentação,Reduzir e uniformizar a pigmentação,"Sérum com 10% de Vitamina C e 0,5% de Ácido Ferúlico com alta eficácia contra linhas finas, textura irregular e hiperpigmentação.",c83a2d05-42f1-426d-9ec2-9ca7899deddd,"R$  64,00",https://www.principiaskin.com/produtos/produtos-individuais/serum-vc-10-vitamina-c-acido-ferulico.html,
VITAMINA C-95,Principia,Reduzir e uniformizar a pigmentação,Reduzir e uniformizar a pigmentação,"Pó com 95% de Vitamina C Pura e 5% de Ácido Ferúlico com alta eficácia contra linhas, rugas, oleosidade e hiperpigmentação.",d54780bd-23de-4eb8-bc1e-441a0c587cc2,"R$  64,00",https://www.principiaskin.com/produtos/produtos-individuais/po-vc-95-vitamina-c-pura-acido-ferulico.html,
SHAMPOO ANTICASPA AC-01,Principia,Reduzir a caspa,Reduzir a caspa,"Shampoo anticaspa intensivo com 13% de Mix de Tensoativos + 2% de Ácido Salicílico + 1% Piroctona Olamina + 1% PCA Zinco, com alta eficácia na redução da caspa persistente, oleosidade e coceira do couro cabeludo.",4d503ffc-ad82-4f19-817d-6d2a0da14b8f,"R$  64,00",https://www.principiaskin.com/produtos/produtos-individuais/shampoo-anticaspa-acido-salicilico-piroctona-olamina-pca-zinco-ac-01.html,
